Name,Position,Age,OVR,Speed,Fatigue,PassAccuracy,Acceleration,Strength,Reactions
Niclas Füllkrug,ST,31,82,63,68,78,63,86,83
Gayà,LB,29,82,82,86,79,79,67,82
Matthias Ginter,CB,30,82,54,57,79,54,84,85
Serge Gnabry,RM,29,82,77,66,83,84,69,82
Anthony Gordon,LW,23,82,92,87,77,89,61,83
Raphaël Guerreiro,LB,30,82,51,79,89,78,49,88
Fabinho,CDM,30,82,64,85,84,51,80,78
Yangel Herrera,CDM,26,82,63,80,82,66,81,80
Jonas Hofmann,CAM,32,82,72,87,82,74,66,84
Ciro Immobile,ST,34,82,83,69,78,80,73,82
Reece James,RB,24,82,79,67,83,76,88,81
Boubacar Kamara,CDM,24,82,68,81,84,64,80,75
Franck Yannick Kessié,CDM,27,82,80,93,81,77,88,78
Randal Kolo Muani,ST,25,82,90,73,77,90,74,80
Filip Kostić,LM,31,82,85,88,80,84,77,80
Mohammed Kudus,RM,24,82,88,79,77,92,76,79
Dejan Kulusevski,RM,24,82,74,90,83,76,80,81
Alexandre Lacazette,ST,33,82,72,68,80,68,79,83
Stanislav Lobotka,CM,29,82,68,89,84,76,68,80
Ademola Lookman,ST,26,82,81,69,79,88,64,85
Romelu Lukaku,ST,31,82,86,64,75,71,94,80
Gianluca Mancini,CB,28,82,75,80,67,65,84,82
John McGinn,CM,29,82,64,92,83,72,82,81
Aleksandar Mitrović,ST,29,82,66,79,72,62,91,82
Nahuel Molina,RB,26,82,85,86,80,84,61,79
Savinho,LW,20,82,87,73,81,90,45,77
Thomas Müller,CAM,35,82,60,77,84,54,66,91
Darwin Núñez,ST,25,82,92,88,74,88,85,82
Michael Olise,RM,22,82,79,68,83,82,46,77
Oyarzabal,ST,27,82,76,79,84,78,57,82
Thomas Partey,CDM,31,82,68,76,84,55,84,79
Tijjani Reijnders,CM,26,82,77,92,85,83,65,80
Fabián Ruiz,CM,28,82,50,84,85,58,67,82
Sancet,CAM,24,82,74,86,84,72,80,84
Jadon Sancho,LM,24,82,76,75,84,83,47,81
Fabian Schär,CB,32,82,51,77,82,50,80,83
Patrik Schick,ST,28,82,74,68,78,74,83,83
Luke Shaw,LB,29,82,77,73,84,72,77,80
Malcom,CAM,27,82,82,88,80,86,70,79
Chris Smalling,CB,34,82,66,66,65,40,84,80
Alexander Sørloth,ST,28,82,83,82,76,74,90,80
Anderson Talisca,RM,30,82,76,74,77,83,75,82
Luis Suárez,ST,37,82,64,53,78,64,81,85
Niklas Süle,CB,29,82,78,52,80,60,93,81
Destiny Udogie,LB,21,82,89,83,79,86,78,79
Dayot Upamecano,CB,25,82,85,77,77,76,87,81
Micky van de Ven,CB,23,82,93,74,77,81,84,80
Raphaël Varane,CB,31,82,77,58,78,69,84,81
Iñaki Williams,RM,30,82,94,88,74,93,84,83
Luciano Acosta,CAM,30,81,73,77,82,87,40,81
Edson Álvarez,CDM,26,81,66,90,78,66,86,77
Yeray,CB,29,81,68,68,80,60,77,83
Waldemar Anton,CB,28,81,75,79,80,61,85,81
Marco Asensio,RW,28,81,74,74,81,78,63,80
Balde,LB,20,81,91,75,80,90,63,78
Rodrigo Bentancur,CM,27,81,66,81,84,68,72,79
Álex Berenguer,LM,29,81,84,80,76,86,59,79
Sergio Busquets,CDM,36,81,38,75,85,35,72,78
Bryan Cristante,CM,29,81,56,93,82,53,83,80
Ricardo Horta,CAM,29,81,78,83,82,82,63,82
Matteo Darmian,RB,34,81,76,79,84,68,70,83
Jonathan David,ST,24,81,84,85,76,80,77,82
Richarlison,ST,27,81,76,78,77,79,75,81
Luuk de Jong,ST,34,81,40,79,80,48,85,84
Fred,CDM,31,81,71,94,81,80,68,85
Eberechi Eze,CAM,26,81,77,76,82,79,70,79
Youssouf Fofana,CDM,25,81,70,90,80,67,77,79
Davide Frattesi,CM,24,81,80,81,84,80,63,80
Remo Freuler,CDM,32,81,58,91,83,63,67,82
Conor Gallagher,CM,24,81,76,94,83,70,73,80
Alexandr Golovin,LM,28,81,77,86,81,76,56,81
Pascal Groß,CDM,33,81,50,85,87,51,68,85
Marc Guéhi,CB,24,81,75,73,80,69,78,82
Dávid Hancko,CB,26,81,78,78,78,77,82,83
Benjamin Henrichs,RB,27,81,73,75,81,75,74,80
Piero Hincapié,CB,22,81,78,80,78,79,77,79
Ferdi Kadıoğlu,LB,24,81,87,91,79,90,73,78
Daichi Kamada,CAM,28,81,78,82,84,81,57,80
Presnel Kimpembe,CB,29,81,75,65,78,72,86,78
Orkun Kökçü,CM,23,81,69,88,84,75,73,74
Ezri Konsa,CB,26,81,80,79,80,72,78,83
Odilon Kossounou,CB,23,81,84,76,77,74,82,77
Andrej Kramarić,ST,33,81,70,82,83,73,69,84
Takefusa Kubo,RW,23,81,79,74,78,89,58,79
Ruben Loftus-Cheek,CM,28,81,84,79,84,78,87,81
Iñigo Martínez,CB,33,81,72,69,74,70,82,80
Noussair Mazraoui,RB,26,81,73,76,83,83,68,79
Brais Méndez,CM,27,81,70,71,84,72,73,82
Arkadiusz Milik,ST,30,81,62,58,75,48,80,82
Kaoru Mitoma,LM,27,81,79,75,80,89,62,77
Riccardo Orsolini,RM,27,81,78,74,77,81,72,76
Nicolás Otamendi,CB,36,81,64,81,73,54,81,80
Isi Palazón,RM,29,81,82,72,80,87,64,76
Marcus Rashford,LM,26,81,91,68,78,87,65,79
David Raum,LB,26,81,84,91,80,86,75,75
Stefan Savić,CB,33,81,68,69,72,57,82,80
Xaver Schlager,CDM,26,81,70,82,80,74,76,81
Jerdy Schouten,CDM,27,81,64,77,82,66,70,80
Ellyes Skhiri,CDM,29,81,55,90,78,65,68,83
Milan Škriniar,CB,29,81,61,66,72,52,87,81
Dominic Solanke,ST,27,81,79,87,76,69,83,82
Raheem Sterling,LM,29,81,83,76,77,88,65,82
Dominik Szoboszlai,CAM,23,81,87,82,83,76,67,80
Youri Tielemans,CM,27,81,38,72,85,52,72,80
Manuel Ugarte,CDM,23,81,69,83,79,70,77,78
Deniz Undav,ST,28,81,67,74,81,67,80,84
Lucas Vázquez,RB,33,81,81,92,82,81,56,81
Joey Veerman,CM,25,81,45,84,86,68,68,75
Vivian,CB,25,81,82,77,75,76,81,83
Callum Wilson,ST,32,81,79,70,73,77,76,85
Lamine Yamal,RW,17,81,81,57,79,84,45,79
Wilfried Zaha,LM,31,81,86,74,76,85,74,76
Piotr Zieliński,CM,30,81,78,77,84,78,57,80
Zubimendi,CDM,25,81,63,79,82,66,68,84
Salem Al Dawsari,LM,33,80,85,88,74,84,77,81
Ali Al Musrati,CDM,28,80,64,82,77,59,87,76
Jordi Alba,LB,35,80,81,84,83,84,58,79
Toby Alderweireld,CB,35,80,56,72,77,42,89,80
Joachim Andersen,CB,28,80,54,75,80,49,87,80
Benjamin André,CDM,34,80,62,91,78,59,79,79
Marko Arnautović,ST,35,80,70,71,81,70,82,77
Maximilian Arnold,CDM,30,80,63,81,82,63,74,82
Fredrik Aursnes,RB,28,80,76,92,79,75,77,83
Simon Banza,ST,28,80,76,73,65,73,81,80
Roberto Firmino,CAM,32,80,66,81,84,69,73,80
Bradley Barcola,LW,22,80,88,73,79,87,59,79
Harvey Barnes,LW,26,80,85,74,78,84,71,83
Christoph Baumgartner,CAM,25,80,71,74,80,84,49,78
Gonçalo Inácio,CB,23,80,81,78,79,79,79,77
Yves Bissouma,CDM,28,80,72,78,83,70,76,77
Daley Blind,CB,34,80,34,63,84,38,73,82
Denis Bouanga,LW,29,80,86,83,75,83,81,82
Yan Couto,RM,22,80,84,80,79,86,55,73
Alessandro Buongiorno,CB,25,80,68,70,78,61,77,78
Davide Calabria,RB,27,80,77,80,74,80,62,78
Samuel Chukwueze,RW,25,80,86,67,77,91,62,77
Jonathan Clauss,RB,31,80,91,82,76,85,63,82
Kevin Danso,CB,25,80,83,75,70,65,90,79
Evanilson,ST,24,80,76,80,75,77,81,83
De Marcos,RB,35,80,79,82,77,79,75,78
Eric Dier,CB,30,80,73,58,72,39,90,75
Jérémy Doku,LW,22,80,89,63,78,95,73,77
Éderson,CM,25,80,70,90,82,75,75,80
Wataru Endo,CDM,31,80,52,87,80,70,67,78
Pervis Estupiñán,LB,26,80,78,81,80,78,73,77
João Félix,LW,24,80,79,75,80,82,62,80
Suso,RM,30,80,71,62,81,73,50,76
Seko Fofana,CM,29,80,71,89,82,71,88,80
Juan Foyth,RB,26,80,72,72,79,70,77,78
Javi Galán,LB,29,80,77,77,79,81,64,76
Pepelu,CM,26,80,68,89,85,68,75,77
Nuno Santos,LM,29,80,82,84,75,85,70,79
Joe Gomez,CB,27,80,87,75,78,75,81,78
Nicolás González,RW,26,80,86,73,80,83,52,76
Mario Götze,CAM,32,80,44,84,86,68,67,81
Vincenzo Grifo,LM,31,80,65,70,81,74,65,82
Nemanja Gudelj,CB,32,80,55,80,83,52,88,79
Albert Guðmundsson,ST,27,80,87,77,75,86,75,79
Mattéo Guendouzi,CM,25,80,74,89,83,69,75,79
Malo Gusto,RB,21,80,88,87,77,87,68,76
Miguel Gutiérrez,LB,23,80,80,83,80,83,67,79
Amadou Haidara,CM,26,80,58,77,83,75,65,79
Danilo Pereira,CB,33,80,59,77,79,40,88,80
Jordan Henderson,CDM,34,80,65,82,81,63,75,81
Morten Hjulmand,CDM,25,80,65,87,81,65,82,79
Pierre-Emile Højbjerg,CDM,29,80,49,79,81,52,78,79
Ibañez,CB,25,80,85,85,63,85,80,76
Thomas Lemar,CM,28,80,77,77,81,85,57,78
Giovani Lo Celso,CAM,28,80,68,67,82,70,69,80
David López,CB,34,80,43,58,81,48,80,78
Harry Maguire,CB,31,80,37,66,79,37,89,78
Reinildo,LB,30,80,85,83,76,82,75,77
Iván Martín,CAM,25,80,74,74,80,76,60,78
Nemanja Matić,CDM,36,80,36,74,83,34,82,81
Bryan Mbeumo,RW,25,80,82,80,73,87,71,76
Facundo Medina,CB,25,80,77,69,79,69,81,81
Dries Mertens,CAM,37,80,64,72,81,72,33,84
Daniel Muñoz,RB,28,80,85,88,79,82,75,78
Vedat Muriqi,ST,30,80,64,71,78,40,91,82
João Mário,LM,31,80,68,78,85,68,65,81
Jesús Navas,RB,38,80,79,78,81,83,34,76
David Neres,LM,27,80,85,73,78,87,64,78
Mario Pašalić,CM,29,80,69,83,83,68,75,74
Vangelis Pavlidis,ST,25,80,75,86,74,76,81,79
Matteo Politano,RW,31,80,79,75,80,81,40,81
Ivan Rakitić,CM,36,80,45,71,84,51,72,77
Amir Rrahmani,CB,30,80,86,67,69,48,83,79
Ruiz de Galarreta,CDM,31,80,68,84,80,77,70,79
Allan Saint-Maximin,LM,27,80,89,77,76,89,72,76
Davinson Sánchez,CB,28,80,84,68,72,69,88,78
Diego Carlos,CB,31,80,70,50,75,55,87,80
Téji Savanier,CAM,32,80,55,72,85,66,62,78
William Carvalho,CDM,32,80,38,81,84,35,90,75
Mohamed Simakan,CB,24,80,77,76,74,73,81,78
Sebastian Szymański,CAM,25,80,78,82,79,84,61,79
Mehdi Taremi,ST,32,80,77,80,81,79,80,82
James Tarkowski,CB,31,80,52,68,66,41,86,78
Jean-Clair Todibo,CB,24,80,87,73,78,74,82,77
Ivan Toney,ST,28,80,78,76,76,76,81,78
Ferran Torres,LW,24,80,81,72,77,87,69,82
Hamari Traoré,RB,32,80,84,90,75,80,73,76
André Silva,ST,28,80,72,77,79,76,77,83
Hans Vanaken,CAM,32,80,53,90,85,36,76,82
Jordan Veretout,CM,31,80,76,83,82,74,78,80
Timo Werner,LM,28,80,89,81,77,93,64,79
Mats Wieffer,CDM,24,80,73,86,79,67,81,76
Axel Witsel,CB,35,80,34,69,84,33,80,82
Barış Alper Yılmaz,RM,24,80,93,86,76,89,84,78
Warren Zaïre-Emery,CM,18,80,78,84,83,80,75,79
André-Franck Zambo Anguissa,CDM,28,80,75,92,78,75,87,84
Lucas Zelarayán,CAM,32,80,71,82,79,72,64,78
Hakim Ziyech,RM,31,80,73,67,80,76,63,76
Zubeldia,CB,27,80,80,80,81,75,81,80
Karim Adeyemi,LM,22,79,96,80,74,96,67,77
Nayef Aguerd,CB,28,79,77,69,74,55,76,79
Rayan Aït-Nouri,LB,23,79,84,79,76,85,65,78
Raúl Albiol,CB,39,79,33,33,74,34,79,77
Ezequiel Ávila,ST,30,79,79,76,71,74,86,78
Azpilicueta,CB,35,79,55,71,79,64,71,83
Álex Baena,LM,23,79,74,76,82,75,60,78
Alexander Bah,RB,26,79,92,86,71,89,78,78
Johan Bakayoko,RW,21,79,85,67,71,88,69,78
Leonardo Balerdi,CB,25,79,64,69,77,63,79,75
Éver Banega,CM,36,79,52,73,82,53,71,76
Abdülkerim Bardakcı,CB,30,79,62,82,78,60,89,75
Yuri Berchiche,LB,34,79,78,83,77,81,82,80
Steven Berghuis,RW,32,79,66,69,82,79,63,77
Steven Bergwijn,LW,26,79,78,62,79,82,79,79
Cristiano Biraghi,LB,32,79,72,81,77,73,68,79
Sacha Boey,RB,24,79,80,84,74,85,76,79
Giacomo Bonaventura,CAM,35,79,65,72,82,65,57,79
Jarrad Branthwaite,CB,22,79,77,72,77,64,78,79
Brian Brobbey,ST,22,79,88,60,75,82,92,79
Matheus Cunha,ST,25,79,86,80,79,82,73,79
Matty Cash,RB,27,79,77,86,74,76,68,79
Valentin Castellanos,ST,25,79,72,86,78,73,68,79
Catena,CB,29,79,65,78,80,64,78,75
Dani Ceballos,CM,28,79,58,76,82,69,60,77
Ben Chilwell,LB,27,79,79,79,80,73,68,78
Jordy Clasie,CDM,33,79,61,73,83,51,65,77
Dante,CB,40,79,32,67,79,32,86,78
Charles De Ketelaere,CAM,23,79,69,83,79,70,68,76
Marten de Roon,CM,33,79,68,91,84,58,79,78
Romain Del Castillo,RW,28,79,88,66,80,79,62,72
Ermedin Demirović,ST,26,79,69,86,78,69,77,81
Sergiño Dest,LB,23,79,91,77,80,90,62,77
Boulaye Dia,ST,27,79,83,70,72,78,81,78
Samuel Lino,LM,24,79,81,86,76,85,58,76
Lucas Digne,LB,31,79,70,80,77,76,69,76
Axel Disasi,CB,26,79,64,71,72,48,88,78
Alexander Djiku,CB,30,79,77,77,75,73,82,76
Cheick Doucouré,CDM,24,79,67,72,78,63,76,76
Lewis Dunk,CB,32,79,47,70,80,33,84,79
Hugo Duro,ST,24,79,74,75,71,72,77,79
Marcus Edwards,RW,25,79,84,73,75,87,39,78
Stephan El Shaarawy,LM,31,79,82,66,77,83,63,76
Eljif Elmas,CAM,24,79,69,68,80,77,64,78
Aritz Elustondo,RB,30,79,67,70,81,60,77,84
Lewis Ferguson,CM,25,79,75,94,79,74,75,74
Emil Forsberg,CAM,32,79,64,65,83,66,59,78
Chris Führich,LM,26,79,79,78,75,87,49,76
Álvaro García,LM,31,79,88,71,76,89,32,79
Alejandro Garnacho,LM,20,79,84,77,77,88,47,77
Lutsharel Geertruida,CB,24,79,73,77,77,77,80,76
Morgan Gibbs-White,CAM,24,79,73,78,80,77,66,78
Carles Gil,CAM,31,79,67,84,82,74,61,79
Santiago Giménez,ST,23,79,80,68,74,77,76,74
Moi Gómez,CM,30,79,61,78,81,71,56,78
João Neves,CM,19,79,80,90,80,82,76,81
Robin Gosens,LB,30,79,69,87,77,76,76,79
Mason Greenwood,RM,22,79,83,67,77,82,60,72
Guruzeta,ST,28,79,75,80,78,75,82,79
Sébastien Haller,ST,30,79,57,54,77,54,84,82
Franck Honorat,RM,28,79,80,84,74,80,54,72
Hiroki Ito,CB,25,79,76,69,77,78,78,83
Nicolas Jackson,ST,23,79,84,76,75,82,76,77
Curtis Jones,CM,23,79,68,82,83,68,72,79
Luka Jović,ST,26,79,74,63,72,76,79,80
İrfan Can Kahveci,RW,29,79,73,68,80,74,64,74
Lukas Klostermann,CB,28,79,82,74,74,81,77,81
Robin Koch,CB,28,79,73,66,75,55,79,79
Sead Kolašinac,CB,31,79,68,70,72,59,88,79
Geoffrey Kondogbia,CM,31,79,68,86,80,66,91,76
Erik Lamela,RW,32,79,76,67,79,77,61,78
Noa Lang,LW,25,79,79,80,76,86,65,78
Manuel Lazzari,RB,30,79,93,85,78,92,56,78
Lee Kang In,CAM,23,79,74,73,80,75,59,76
Pierre Lees-Melou,CDM,31,79,61,90,80,64,72,78
Mario Lemina,CDM,31,79,71,84,79,67,76,78
Jefferson Lerma,CDM,29,79,75,83,78,68,76,76
Philipp Lienhart,CB,28,79,74,66,74,62,78,78
Pedro Neto,RW,24,79,87,70,75,89,55,74
Castello Lukeba,CB,21,79,69,63,78,71,76,79
Dodi Lukébakio,RW,26,79,86,64,73,82,68,74
Ian Maatsen,LB,22,79,85,74,80,88,52,78
Pablo Maffeo,RB,27,79,80,71,75,85,70,73
